开盘,最高,最低,收盘
0.1406,0.1421,0.1406,0.1414
0.1414,0.1423,0.1414,0.1419
0.1419,0.1419,0.1410,0.1411
0.1411,0.1411,0.1396,0.1397
0.1397,0.1406,0.1397,0.1404
0.1404,0.1404,0.1394,0.1395
0.1395,0.1402,0.1395,0.1400
0.1400,0.1400,0.1394,0.1396
0.1399,0.1401,0.1398,0.1398
0.1395,0.1398,0.1392,0.1395
0.1395,0.1395,0.1381,0.1387
0.1387,0.1397,0.1387,0.1396
0.1397,0.1414,0.1397,0.1409
0.1410,0.1419,0.1410,0.1419
0.1419,0.1424,0.1416,0.1424
0.1424,0.1439,0.1424,0.1436
0.1436,0.1436,0.1428,0.1429
0.1429,0.1434,0.1429,0.1434
0.1434,0.1435,0.1432,0.1435
0.1435,0.1439,0.1435,0.1437
0.1437,0.1437,0.1431,0.1433
0.1433,0.1440,0.1431,0.1440
0.1440,0.1441,0.1436,0.1438
0.1438,0.1439,0.1433,0.1434
0.1434,0.1437,0.1432,0.1435
